,motorcycles_unigram,motorcycles_bigram,motorcycles_interpolation
file_0,558.131238135436,4.038260433259956,5.98164616074053
file_1,181.0851442980901,0.032376917690604655,0.05283927712897369
file_10,175.19493325872764,0.10422491969216577,0.17516911360074597
file_100,181.134536074984,0.08095289610427088,0.12967413193913102
file_101,253.48370542557015,0.04234270765846946,0.0692413638584717
file_102,417.19649785203734,1.128626570564651,1.6666523574692151
file_103,349.91631550955157,0.05753537815271771,0.09726574092137764
file_104,203.80712878343326,0.035383647397536716,0.06137873951169193
file_105,195.22984542225564,0.04707838751711505,0.07606962962522981
file_106,201.55532127823935,0.05558972441380367,0.09803578672038328
file_107,149.56308720975784,0.08284973556620938,0.13682305762076227
file_108,319.90993697831414,0.1022319175146506,0.16356414757680554
file_109,220.470770134157,0.06831156775720848,0.11247964449651031
file_11,232.5535937467741,0.033698726647225334,0.05629571562064504
file_110,184.2865079196185,0.0687690598149324,0.1150764239691139
file_111,145.65234459406048,0.0523186145951744,0.08812590560060836
file_112,422.2615367884865,0.6655484975857131,0.9294447441262227
file_113,323.17447573296516,0.05696967107303834,0.0903549618324226
file_114,260.03936907865744,0.035515752062296076,0.0606318812519872
file_115,202.72599756554985,0.039255093327293406,0.06656648654020078
file_116,202.41906734312494,0.05243143575898378,0.08481373787916963
file_117,169.21114510677666,0.02407932838504084,0.04045125354026347
file_118,216.4844421881448,0.11814975248127366,0.19039446781607203
file_119,264.03779187636997,0.10580286885767566,0.1608847637790506
file_12,275.81340238593583,0.07914531863887012,0.12348382705539632
file_120,212.76000586158972,0.043272600859415596,0.07123370736378172
file_121,422.4573654922731,0.055498906094509644,0.08938352661728878
file_122,147.1344728882323,0.1174737638460975,0.18713205255784526
file_123,410.05319052390803,0.3435696109478605,0.5346445330880194
file_124,333.97930497688697,0.06674004569845142,0.10880431663227019
file_125,269.30967460679193,0.04031015363924191,0.06789188185122369
file_126,183.10515603466712,0.07705962955230412,0.12285199243642218
file_127,156.82238933446047,0.01923607037269038,0.03205568719323324
file_128,605.1605394878391,0.7936499813650755,1.176389076481746
file_129,220.26085309046388,0.05447879138928407,0.08977181157528065
file_13,183.94994688770367,0.06374232805750754,0.09740263259105561
file_130,208.08602270409136,0.10498359852144412,0.17529571226456894
file_131,311.11240219185294,0.04315408425103702,0.07162903423828262
file_132,427.50811673322096,0.3742971473181778,0.6174947305023074
file_133,601.2347823777905,0.6336298554950419,0.9858109047928719
file_134,117.81832933369877,0.01933982121343898,0.035463218219928656
file_135,431.7188456316355,0.04059249497017706,0.07077694763297214
file_136,124.66208785014527,0.021381559211806837,0.038284438165261336
file_137,226.5693087252177,0.050660730232993126,0.08546649362375676
file_138,203.8077139567289,0.04801833100631356,0.0823924178198192
file_139,452.40706520841843,1.0525862935518018,1.6781594310667995
file_14,182.33004119318548,0.03789282666030345,0.06383365152484723
file_140,388.58154338128367,0.11965006063020388,0.18681740150446943
file_141,262.76704327981645,0.06803158737681737,0.10791367844975201
file_142,277.16849897159085,0.08092811674621753,0.13814323833983672
file_143,226.8948952056424,0.07842017969184446,0.12172896467138244
file_144,226.00641503825523,0.04072603033081375,0.06789575881435587
file_145,256.6234297940237,0.04707831123977117,0.07663731314103227
file_146,135.08266186139232,0.14538540237188763,0.22869267002813504
file_147,161.27942862569537,0.12376551388304252,0.18807517240103916
file_148,269.7001798925406,0.06834872605097807,0.11034928160028919
file_149,172.87674483309624,0.04728643798313114,0.08156298639878969
file_15,353.72160361539494,0.04914145453636422,0.08045020298493016
file_150,121.82589593351426,0.023012325284214773,0.040512213295932076
file_151,140.56741663785468,0.0902522082314694,0.15606576920426662
file_152,133.17597055879787,0.03749220933616127,0.06574292740613102
file_153,217.11892648303592,0.04468192099796309,0.07220690132413392
file_154,209.38404040197318,0.057835646465412165,0.09552466449199888
file_155,377.242041064805,0.07771600672030934,0.12301526544077533
file_156,293.31605544708987,0.08576978595250812,0.13844283487832557
file_157,111.99499647517513,0.046157243307034454,0.08441277027915152
file_158,283.34417754303274,0.02898533059630006,0.047901995293317436
file_159,240.63962473971932,0.05776076051561379,0.09332895519696975
file_16,163.14611599336465,0.0637174672372161,0.10287193440394801
file_160,220.5505958620086,0.23494047407900198,0.35390010224389473
file_161,204.85708486428084,0.011845835826182214,0.021450145689230832
file_162,225.78276883596592,0.07322857875546132,0.11858710093424968
file_163,127.42930635205855,0.04454405077871339,0.07819676246247136
file_164,282.24542703093925,0.04102420973563514,0.07042524856679208
file_165,188.2111495182212,0.24057767432015575,0.4175125090866454
file_166,200.014963790976,0.0634013624175176,0.10569145873372773
file_167,247.36488151132443,0.07149127415713927,0.11964661787170888
file_168,242.14724536323382,0.09376678217462006,0.1442907058203285
file_169,285.71111321823446,0.15578529482728015,0.24684239806551847
file_17,219.74716023046318,0.07023439454162159,0.11529592293168468
file_170,342.716908001382,0.05892718423304265,0.09206663938465517
file_171,228.75064588606708,0.039439973051410664,0.06452436902505543
file_172,280.8177756929248,0.03226363476005558,0.05560066813317118
file_173,226.18304843788144,0.05980856557453258,0.0958032680320897
file_174,445.90029394884107,0.24595517415016177,0.3745851524274442
file_175,214.28505905444624,0.08578155212695396,0.14753226371571823
file_176,346.1816790335232,0.029280488198765966,0.05062788835289537
file_177,497.6835923605482,0.33731057830221317,0.48964267449490134
file_178,294.1531653966301,0.06590100342295749,0.10588914046378949
file_179,221.8291992515331,0.05820728127498662,0.0942284997936076
file_18,316.4661196000982,0.07144853574794119,0.12969082976098997
file_180,150.9693203798464,0.026664382304803936,0.04856380161027329
file_181,199.8736657038577,0.012121853369184218,0.02161318120190531
file_182,256.82583880320334,0.10517755606740041,0.17191792504475914
file_183,279.11751813651716,0.06397350744320915,0.10050498933246825
file_184,235.4724165861103,0.0629106208300623,0.10772232371914217
file_185,459.49987831398096,0.14358845936219747,0.22283074611284265
file_186,347.54218360743215,0.16613538205282094,0.2751873247030133
file_187,241.46479089614542,0.04756049739259586,0.07730159701612574
file_188,251.7989019710622,0.04836238465396445,0.08078787252480071
file_189,221.05325777364317,0.08469921664616044,0.13988419787214892
file_19,217.74119680712585,0.048669282479763855,0.07983262922588719
file_190,284.0628803382136,0.12624778937074235,0.200421850622289
file_191,304.3841275432523,0.05522506108573094,0.08895795432893297
file_192,296.7988494564079,0.11465502493198071,0.18517000646680237
file_193,314.0360338735732,0.06881960406794993,0.11888736316543047
file_194,303.47576472310317,0.06978457105583062,0.11120207063090295
file_195,207.7952852035628,0.027471307751042045,0.05123024687258086
file_196,417.14230759807185,0.06145199033757022,0.09458696860242419
file_197,236.77358482367504,0.055841833807640004,0.09484141816293407
file_198,208.1491099733786,0.03425821442096142,0.06085342773640265
file_199,231.1708205627451,0.08238974015329927,0.13078067708893612
file_2,127.57219034879886,0.04882735232881485,0.08913078531352836
file_20,209.65382145656284,0.06874849976578798,0.11569799775797555
file_200,455.3283457674313,0.9648232986137468,1.5403363972702773
file_201,221.17485526574833,0.057626290968604534,0.09145075899388799
file_202,166.5544605568619,0.03791767414939905,0.0635510101517988
file_203,326.7895255712708,0.08040304140958772,0.13129434137508525
file_204,402.66240460810843,0.4345656706326659,0.6741185355260492
file_205,579.7783133816781,1.2164664247661143,1.7009318862790543
file_206,565.1394307084975,6.443598298859975,8.617574751828931
file_207,315.7073189761608,0.043690485560175005,0.07249071636065672
file_208,316.0230032523446,0.014416239752287147,0.025199519087872314
file_209,243.3806020522593,0.11103490897206929,0.17647521278625064
file_21,165.7524596766998,0.051080351591746474,0.0898391250372993
file_210,281.0483488643353,0.17419036077436748,0.25545526524411766
file_211,163.7733214424335,0.05923979433490217,0.10073070443634606
file_212,236.19047681714147,0.031047585659277472,0.05488991862594365
file_213,212.9315141906886,0.04396035503663431,0.07405970606447675
file_214,214.94567116380037,0.026763776451596083,0.04581726736763272
file_215,273.6511535384083,0.053011164111415,0.08472490662069145
file_216,303.2604907604066,0.027186028616075747,0.045332568932959796
file_217,508.32084291576257,0.06107185860085295,0.09711182852994933
file_218,223.05512355038337,0.06128427969607539,0.09897776772851175
file_219,261.47152362073564,0.07192182916972482,0.1171193370879832
file_22,133.1882866856625,0.0167940570458354,0.02969871814942764
file_220,126.45911200760635,0.03549333909491741,0.06166080202417782
file_221,293.0631254985517,0.058771822812494184,0.09467847645149827
file_222,217.98811628436883,0.0283003463478552,0.05212566946116397
file_223,353.0162327666822,0.09674970781936025,0.14919691459962847
file_224,234.5849142524358,0.06265573396388127,0.10190803047757276
file_225,245.66067127485803,0.06231096788457496,0.1019883845024281
file_226,281.3573812768057,0.09271284203749446,0.13572516703461257
file_227,283.1992798348187,0.04456515991945711,0.07184402899282959
file_228,129.25052187241857,0.018356786054451027,0.033003245810508265
file_229,432.29767417629785,0.07238048764514929,0.11209536658903921
file_23,250.9696834213244,0.08443935393369358,0.13997870414335298
file_230,447.10300116473456,0.5976491128053868,0.8370993833263334
file_231,217.3223112614739,0.05390672122015718,0.0951198911708209
file_232,304.05346464187187,0.1322827098211261,0.1999050312007875
file_233,223.9037229635037,0.05975839524748238,0.09633258137025531
file_234,234.4476148943834,0.07401420058131401,0.11910477647444723
file_235,251.58194306859244,0.06274864769704727,0.10182231947405522
file_236,198.66170990700675,0.15439977246040723,0.24480740448677946
file_237,251.7661014062254,0.16373271779701493,0.2535459353496842
file_238,166.01398231942196,0.07135111594456045,0.11885405449617537
file_239,151.1904220851738,0.08649964135308688,0.14792368320854848
file_24,210.5839194314708,0.07867540187283725,0.1256045435611127
file_240,201.34181400469203,0.02839643199780624,0.047463743313103234
file_241,210.89092679818833,0.06456821302675496,0.10359998979151981
file_242,285.1325834262549,0.04083975541356321,0.06588007556913568
file_243,344.28371759664185,0.0330908570401038,0.05532388848361072
file_244,239.12102841783496,0.04729790195225851,0.0791546201515921
file_245,154.7426820188372,0.05398562218808602,0.09597671834556462
file_246,180.14087479105902,0.03213891850347204,0.0536122420390473
file_247,320.85190608285615,0.14133097557672067,0.2206146989640398
file_248,214.77159236685836,0.09167550276640168,0.15491539094938364
file_249,423.32808304641895,0.2159127001420391,0.32910420812042246
file_25,121.42075262235389,0.051684144876925804,0.09005144326119466
file_26,308.23062767132643,0.062044905226262374,0.10124620085406552
file_27,248.45860460782703,0.018364153123321503,0.03318282346847739
file_28,207.0384009033574,0.15350688812963365,0.23796935815351714
file_29,424.4603447730844,0.05521377289141646,0.08802587212970776
file_3,188.38703948541706,0.029125036696324214,0.05011998470818399
file_30,147.36026553521216,0.028433882070968267,0.04869699628712358
file_31,237.48071964242132,0.06642351454066783,0.1087778106755073
file_32,386.0091805319295,0.05112091180809418,0.08197627873795751
file_33,236.83865259253625,0.11961284604983279,0.1917095073201003
file_34,207.94870696752247,0.0680810989083826,0.10827437663253198
file_35,270.30278490102495,0.13800657457697127,0.2042711929968174
file_36,182.59032667715297,0.039906243499202465,0.07369218444475387
file_37,213.27823841007287,0.035260887687889486,0.05781101316353576
file_38,307.5643164160749,0.041511610319148726,0.07013590840701632
file_39,262.9399990769355,0.04345466048429506,0.07494274928831092
file_4,200.59276558317023,0.03835132212800293,0.06242817243483829
file_40,252.30612238651935,0.05882694178807082,0.09445048351642825
file_41,309.02911098708955,0.05598993979549666,0.08867517270242893
file_42,121.33562249009871,0.0558247892183501,0.09447636584539564
file_43,199.33486197776983,0.04414604147381686,0.07195384219117885
file_44,304.3915038354261,0.10984762386061107,0.18102873181769616
file_45,292.67083723517055,0.04678358431344643,0.07606653879870443
file_46,193.35824128187173,0.03677412621453038,0.06264895931614281
file_47,172.38027978772342,0.08474592682399636,0.13479361714870314
file_48,375.5620706228359,0.20038911976129875,0.3009367263629102
file_49,274.91898579803785,0.043018366912484646,0.07232998494518277
file_5,244.02432991835602,0.048585594270234136,0.07943474209639045
file_50,281.7279070673819,0.04909351180252894,0.0788454079310702
file_51,245.37849710320597,0.10545406514508991,0.16655463490093161
file_52,314.11242145009857,0.07751569429152695,0.11784414225928619
file_52,1132.7710745263512,0.20861012433358436,0.24709939868927192
file_53,204.65183530798726,0.05558533842119094,0.09225911897735538
file_54,436.6534637695989,1.046343440597155,1.5593374059115162
file_55,255.0713155808343,0.02913785225157153,0.04846389172574056
file_56,281.13688622342806,0.062110678240947764,0.10069096780900669
file_57,220.7158723659231,0.08974084894868133,0.138880664373382
file_58,229.4193907528751,0.1196334251955252,0.18583437521617666
file_59,210.9241996046969,0.0443043168178441,0.0727826608457012
file_6,284.0376722331768,0.0577956313916473,0.10040102461453454
file_60,290.029465439971,0.09142842803536574,0.14565610262267079
file_61,229.66047567456596,0.035921923049781,0.059226933351605386
file_62,444.3041016013618,0.5655856944726978,0.9906668514579876
file_63,177.836129768899,0.026760290555572715,0.04764729173450478
file_64,162.26956843155114,0.05147001659916286,0.08943816915677491
file_65,141.10463895521806,0.04689025490119644,0.0834541484111102
file_66,316.31291122875274,0.03288459298049237,0.05479115677745009
file_67,234.48212150721926,0.07162209941023534,0.11842103119940282
file_68,261.45181672174135,0.07292067497883536,0.11964153364920709
file_69,176.05233540565925,0.054362524935223706,0.08866430748051689
file_7,667.1200444747943,0.13083545174663375,0.21032043390499053
file_70,387.12821604446526,0.01847008161890855,0.031110156943955223
file_71,582.0133683906924,0.021390582933930345,0.03477765726518345
file_72,129.84954232203518,0.14574114109445918,0.2498600821242049
file_73,283.28558390946694,0.14781941574323199,0.2430636594863111
file_74,204.748071730286,0.06636002123013629,0.1128586344186082
file_75,263.71310848246935,0.12180279093467788,0.20694411764933784
file_76,110.91584767664726,0.017784049254005726,0.03208204750425532
file_77,343.37286447635796,0.0507994862224486,0.0843009348585029
file_78,266.0534622875001,0.059222006898956826,0.09655916921638419
file_79,220.49992078426322,0.0647575835733277,0.09774897282965161
file_8,288.8729409551835,0.05366443630819063,0.09155578865867477
file_80,201.5652642711534,0.1032187242793388,0.17609022066685184
file_81,259.9889297107725,0.06401561425210882,0.10645541244955699
file_82,163.62576755900605,0.1970996908425757,0.31322858617805177
file_83,259.1798507521898,0.05753963978060186,0.09499366464383222
file_84,237.33064196914822,0.058601629424615866,0.09476390357020908
file_85,344.556600355806,0.12440332136473788,0.20609625365642142
file_86,172.83298056409117,0.07215143855330039,0.12211638642310144
file_87,196.38574147368192,0.031301341473155574,0.053778051096616854
file_88,263.25626494824274,0.05102517695229116,0.08220131028655005
file_89,215.44357441865995,0.08568024919300778,0.1403075297213938
file_9,181.2891001996095,0.11848862092722788,0.1856434284167081
file_90,636.1746767601081,0.7792206329229859,1.1916052148190404
file_91,167.20012257717332,0.04006204983386562,0.07106532426972689
file_92,249.8657644816966,0.16265585940207725,0.25206793521983206
file_93,355.7831317559944,0.10614656665265577,0.1704517262591373
file_94,478.73258186691606,1.5250086326433112,2.203697152371563
file_95,314.1186404042971,0.10951847580037558,0.20038227093704075
file_96,204.12950119393236,0.048461320765040866,0.08407550857905909
file_97,735.9045703816386,1.2755403209370852,1.947570875312159
file_98,369.3653343254878,0.19937337003913644,0.35726171209988744
file_99,144.28477018732275,0.08571664878861841,0.14613320645642872
